GOOGL,AAPL,YHOO
504.01001,105.030455,46.23
510.459991,104.214358,46.470001
509.940002,106.898626,47.630001
520.390015,107.714723,48.18
537.299988,110.516976,48.889999
541.950012,111.087261,48.950001
536.719971,111.205246,49.439999
521.190002,107.311588,47.990002
512.429993,113.378221,46.459999
513.22998,116.908082,43.73
537.549988,115.197234,43.990002
532.200012,116.642601,44.689999
533.299988,116.66227,44.700001
526.099976,117.557021,44.049999
529.830017,118.39608,43.549999
533.880005,117.399079,42.939999
529.280029,118.178911,42.57
540.159973,120.449299,43.07
538,123.272485,42.959999
546.01001,124.832148,43.93
551.159973,125.44417,44.419998
545.01001,126.184516,43.529999
542.650024,127.063058,43.650002
546.450012,126.79653,44.369999
541.799988,127.833017,44.110001
535,131.287963,43.529999
538.650024,130.468645,43.380001
547.330017,127.13215,44.43
559.289978,128.741172,44.450001
562.630005,126.806411,44.279999
575.02002,127.428291,44.110001
578.789978,127.694819,42.619999
578.330017,126.885368,43.990002
581.429993,124.782796,44.16
572.900024,124.970345,43.439999
574.099976,125.503395,42.98
559.849976,122.907252,42.68
555.690002,120.666469,42.5
561.169983,122.84802,42.950001
553,121.999089,42.869999
561.640015,123.341583,43.509998
557.609985,125.404684,43.790001
566.159973,126.816277,44.669998
563.669983,125.858762,44.98
564.950012,124.279359,45.040001
565.369995,125.572494,44.720001
577.539978,125.059191,44.419998
567,121.791793,44.200001
563.640015,122.640724,44.470001
557.549988,121.66347,45.099998
561.140015,124.74331,44.950001
554.700012,122.82828,44.439999
549.48999,122.650597,44.130001
541.309998,123.706823,44.150002
543.950012,125.710691,43.669998
544.859985,124.387944,43.610001
548.840027,123.983218,45.169998
548.02002,124.930859,45.630001
548.539978,125.463909,45.18
548.640015,125.217127,44.77
539.780029,124.674212,45.529999
541.039978,125.148029,45.73
543.52002,124.54588,45.779999
532.73999,123.144161,44.450001
544.530029,125.957473,44.66
542.919983,125.27636,44.490002
549.179993,126.96434,43.98
557.460022,128.000827,43.700001
573.659973,128.602975,44.52
566.119995,130.942462,44.360001
564.369995,128.87937,44.34
561.390015,126.984086,43.279999
548.77002,123.539013,42.57
551.159973,127.290094,42.509998
552.840027,127.043312,42.040001
543.039978,124.180648,41.299999
535.080017,123.400816,41.66
542.039978,124.164086,43.869999
548.950012,126.503439,44.09
545.780029,125.21481,43.599998
538.72998,124.76875,43.84
539.48999,124.907525,44.400002
549.200012,127.821797,44.950001
546.48999,127.643379,44.75
546.669983,129.050954,44.360001
549.280029,128.932008,40.98
552.51001,128.922086,42.790001
556.809998,130.240452,43.68
554.52002,131.380384,43.490002
547.190002,128.485933,42.849998
554.25,130.884759,43.380001
554.179993,130.627039,43.07
545.320007,129.140162,42.939999
549.210022,129.397882,43.349998
553.950012,128.82297,43.150002
555.289978,128.981559,43.209999
551.690002,128.228213,42.880001
549.530029,127.524419,42.810001
543.47998,126.681865,42.009998
542.159973,126.305184,41.630001
552.599976,127.752417,42.060001
550.039978,127.464946,40.939999
547.469971,126.057372,40.529999
543,125.809559,40.470001
544.869995,126.48361,40.639999
546.599976,126.186239,40.959999
556.179993,126.761159,40.91
557.52002,125.492359,40.509998
559.679993,126.493524,40.73
563.390015,125.918597,40.650002
558.570007,126.98915,40.939999
557.950012,126.384486,41.07
553.059998,125.641048,40.060001
541.25,123.44047,38.91
540.039978,124.332597,39.290001
543.299988,125.492359,39.330002
547.340027,125.333763,39.380001
545.619995,124.89761,38.610001
550.030029,124.590325,38.23
541.700012,121.497619,37.23
544.650024,119.019492,37.610001
556.109985,122.201406,37.919998
571.72998,124.560588,38.759998
584.179993,124.511023,38.630001
583.960022,125.710435,38.380001
601.780029,127.385644,38.91
699.619995,128.485933,39.68
692.840027,130.91451,39.540001
695.349976,129.606052,39.73
695.099976,124.124435,39.240002
674.72998,124.064963,39.209999
654.77002,123.410734,38.849998
658.27002,121.695866,37.84
659.659973,122.30053,37.720001
661.429993,121.913943,37.669998
664.559998,121.299372,37.419998
657.5,120.238734,36.669998
664.719971,117.403756,36.689999
661.280029,113.636999,37.119999
673.289978,114.390352,37.25
670.150024,114.639282,36.459999
664.390015,115.027619,36.669998
663.140015,119.209722,37.150002
690.299988,113.006273,36.029999
691.469971,114.748814,34.490002
686.51001,114.659201,35.93
689.369995,115.465746,36.240002
694.109985,116.660636,36.099998
688.72998,116.003446,35.689999
694.039978,114.519799,35.189999
679.47998,112.169857,34.099998
644.030029,105.309225,32.93
618.109985,102.680478,31.309999
612.469971,103.29783,31.74
659.73999,109.222474,32.52
667.960022,112.438703,33.689999
659.690002,112.807129,33.139999
647.820007,112.279389,32.240002
629.559998,107.26087,31.6
644.909973,111.861173,31.77
637.049988,109.899576,32.540001
628.960022,108.804259,31.58
643.880005,111.831302,30.9
643.409973,109.680513,31.52
651.080017,112.090196,31.15
655.299988,113.723205,31.43
652.469971,114.818515,30.32
665.070007,115.784382,31.040001
665.52002,115.913833,31.4
671.669983,113.434441,30.93
660.919983,112.966443,30.74
666.97998,114.718943,31.17
653.200012,112.91666,30.4
653.289978,113.832737,29.74
654.909973,114.509839,29.34
640.150024,114.221074,29.129999
624.25,111.960753,27.6
622.609985,108.595155,28.26
638.369995,109.829875,28.91
642,109.112942,28.91
656.98999,109.909528,30.709999
671.679993,110.307825,30.85
671.640015,110.835564,30.959999
670,110.307825,31.870001
667,109.033282,32.369999
671.23999,111.642117,32.52
676.429993,111.124329,32.860001
683.169983,111.313522,32.34
680.409973,109.740254,32.09
693.02002,111.383223,33.48
695.320007,110.566719,33.369999
699.950012,111.25378,33.5
680,113.285078,32.830002
671.799988,113.275126,31.120001
681.140015,115.007708,31.67
719.330017,118.572451,33.169998
731.119995,114.788644,33.400002
732.820007,114.06176,34.299999
736.919983,118.761636,35.189999
744.849976,120.016268,35.049999
737.390015,118.990659,35.619999
747.73999,120.663499,35.27
748.820007,122.047573,34.720001
755.309998,121.480003,35.07
760.669983,120.919998,35.119999
761.599976,121.059998,34.200001
754.77002,120.57,33.68
758.26001,116.769997,33.990002
765.25,116.110001,33.380001
756.530029,115.720001,33.23
740.070007,112.339996,32.189999
750.419983,114.18,32.950001
745.97998,113.690002,32.860001
760.01001,117.290001,32.98
759.940002,118.779999,32.630001
777,119.300003,33.110001
776.700012,117.75,33.360001
769.630005,118.879997,32.959999
769.26001,118.029999,33.16
771.969971,117.809998,32.939999
762.849976,118.300003,33.810001
783.789978,117.339996,33.709999
